Country,Region,Year,VALUE
Cuba,Americas,1996,6.676985589
Cayman Islands,Americas,1996,2.92453244
Cyprus,Asia,1996,1.136288099
Czechia,Europe,1996,1.680321138
Germany,Europe,1996,2.365288487
Denmark,Europe,1996,1.293757544
Dominican Republic,Americas,1996,12.88017419
Ecuador,Americas,1996,12.42142117
Spain,Europe,1996,0.992587521
Estonia,Europe,1996,14.91632222
Finland,Europe,1996,2.985529548
Fiji,Oceania,1996,1.632061727
France,Europe,1996,2.032168375
United Kingdom (England and Wales),Europe,1996,1.139846459
United Kingdom (Northern Ireland),Europe,1996,2.106212062
United Kingdom (Scotland),Europe,1996,2.474377429
Georgia,Asia,1996,5.67075353
Greece,Europe,1996,1.564263557
Greenland,Americas,1996,5.360972123
Guatemala,Americas,1996,34.03781292
Guyana,Americas,1996,11.67773951
"China, Hong Kong Special Administrative Region",Asia,1996,1.21576823
Croatia,Europe,1996,2.563763639
Hungary,Europe,1996,2.628957648
India,Asia,1996,4.770964719
Ireland,Europe,1996,1.164490364
Iceland,Europe,1996,0.37155867
Israel,Asia,1996,2.084634374
Italy,Europe,1996,1.67489842
Jamaica,Americas,1996,36.51949114
Jordan,Asia,1996,0.976419258
Japan,Asia,1996,0.518587121
Kazakhstan,Asia,1996,16.25966103
Cambodia,Asia,1996,4.846809954
Kiribati,Oceania,1996,1.207270181
Saint Kitts and Nevis,Americas,1996,9.281280817
Republic of Korea,Asia,1996,0.539605506
Kuwait,Asia,1996,0.939343094
Saint Lucia,Americas,1996,7.793776669
Liechtenstein,Europe,1996,0
Sri Lanka,Asia,1996,9.687539466
Lithuania,Europe,1996,10.88118233
Luxembourg,Europe,1996,0.968050697
Latvia,Europe,1996,10.57496228
"China, Macao Special Administrative Region",Asia,1996,4.204829618
Republic of Moldova,Europe,1996,9.028947936
Mexico,Americas,1996,15.83747746
Montserrat,Americas,1996,12.96092282
Mauritius,Africa,1996,2.899682911
Malaysia,Asia,1996,2.160563092
Namibia,Africa,1996,21.39307071
Nicaragua,Americas,1996,13.75615287
Netherlands (Kingdom of the),Europe,1996,1.357907294
Norway,Europe,1996,0.981396824
New Zealand,Oceania,1996,1.287395486
Pakistan,Asia,1996,6.603280902
Panama,Americas,1996,8.947880759
Poland,Europe,1996,2.273354144
Puerto Rico,Americas,1996,23.25324715
Portugal,Europe,1996,1.050790348
State of Palestine,Asia,1996,4.389171767
Romania,Europe,1996,3.220645102
Russian Federation,Europe,1996,26.36585081
Singapore,Asia,1996,0.903638459
Saint Helena,Africa,1996,0
El Salvador,Americas,1996,117.1612209
San Marino,Europe,1996,0
Slovakia,Europe,1996,2.463472948
Slovenia,Europe,1996,1.908907919
Sweden,Europe,1996,1.126857522
Turks and Caicos Islands,Americas,1996,6.326911518
Thailand,Asia,1996,7.430524101
Tajikistan,Asia,1996,8.019086752
Turkmenistan,Asia,1996,7.765467987
Tonga,Oceania,1996,1.99610759
United Republic of Tanzania,Africa,1996,7.331233747
Uganda,Africa,1996,8.498994309
Ukraine,Europe,1996,9.672810469
Uruguay,Americas,1996,6.353370106
United States of America,Americas,1996,7.303398932
Uzbekistan,Asia,1996,4.913507355
Saint Vincent and the Grenadines,Americas,1996,20.99912066
Venezuela (Bolivarian Republic of),Americas,1996,21.97844942
British Virgin Islands,Americas,1996,11.03722303
South Africa,Africa,1996,57.0288519
Anguilla,Americas,1997,9.870206781
Albania,Europe,1997,40.9992381
Armenia,Asia,1997,3.056778437
Antigua and Barbuda,Americas,1997,1.404149261
Australia,Oceania,1997,1.977159355
Austria,Europe,1997,0.828407551
Azerbaijan,Asia,1997,3.549972488
Belgium,Europe,1997,1.427885903
Bulgaria,Europe,1997,4.784248427
Bahrain,Asia,1997,0.919339455
Bahamas,Americas,1997,14.83055287
Belarus,Europe,1997,9.81643554
Bermuda,Americas,1997,3.320769754
Brazil,Americas,1997,24.03310081
Brunei Darussalam,Asia,1997,2.554156091
Bhutan,Asia,1997,1.280023406
Canada,Americas,1997,1.960997434
